se,struct_s1,expr_s1,struct_s2,expr_s2
Hyperlipidaemia,0.6314282352018201,0.43207939434354525,0.5856117365551328,0.43910092966696745
Hypernatraemia,0.5799515445184736,0.4415505754088431,0.5766959418534222,0.41649000605693526
Hyperreflexia,0.7446855139162831,0.5723573672291621,0.7864708890349916,0.6290452187888086
Hypersensitivity,0.5204012959166107,0.530621507833409,0.556915468048143,0.507817757813845
Hypertension,0.5409032149280576,0.5424488534172662,0.5802607913669064,0.5527624775179856
Hyperthyroidism,0.5101176126817152,0.438088976550515,0.5196142888450581,0.48045876251004455
Hypertonia,0.5857936507936508,0.4073544973544973,0.5854232804232804,0.41854497354497355
Hypertriglyceridaemia,0.5401284459784176,0.579710778103019,0.5182838918257678,0.5714972257416226
Hyperuricaemia,0.6653790152438118,0.49971770718806635,0.6682910884616527,0.4877722639883516
Hyperventilation,0.6099977277891389,0.49293342422176784,0.6293569643262895,0.5752329016132698
Hypoaesthesia,0.5749406843156843,0.49723713786213786,0.5569274475524476,0.51306505994006
Hypocalcaemia,0.5995012300744785,0.5415023758972803,0.5961311630101439,0.52266370100765
Hypoglycaemia,0.5932568438003221,0.5121779388083736,0.580475040257649,0.5394927536231885
Hypokalaemia,0.6235726473290459,0.49404683779273617,0.6301164382277389,0.49835936474602965
Hypokinesia,0.5829077561442707,0.5265320778806256,0.5412543887647622,0.5485157995531439
Hypomagnesaemia,0.7605131860299359,0.6584550962223805,0.7082590876692801,0.6478528153955809
Hypomania,0.878558449424591,0.6465021199273168,0.8219261053906723,0.6409751665657177
Hyponatraemia,0.6605795874384237,0.5709475061576355,0.6815540332512315,0.5450854371921182
Hypophosphataemia,0.6963008572917159,0.6192866954009377,0.683323071093639,0.5693648463032255
Hyporeflexia,0.505081874647092,0.432029926595144,0.4950592885375494,0.44297007340485606
Hypotension,0.6184862391758944,0.5861647930613447,0.6225422087491054,0.546882236537409
Hypothermia,0.7053838848710643,0.322521732778143,0.6989553656220322,0.4285192490320695
Hypothyroidism,0.5558677685950414,0.5337603305785124,0.5834710743801653,0.4497107438016529
Hypotonia,0.567526455026455,0.45125661375661374,0.5877645502645503,0.45357142857142857
Hypoxia,0.5902016932270917,0.5258964143426295,0.6002241035856575,0.5956175298804781
Ileus,0.5652863511659808,0.4697788065843621,0.5540552126200274,0.4852109053497942
Ileus paralytic,0.7701375245579568,0.7633005893909627,0.7859332023575638,0.7801964636542239
Ill-defined disorder,0.5399049539170507,0.4676123271889401,0.5343029953917051,0.47540322580645156
Immune system disorder,0.5053381844208518,0.5261541214362401,0.4588452821185733,0.5227991172611237
Inappropriate antidiuretic hormone secretion,0.8091731537976016,0.5944456132968652,0.7943614559225752,0.6118241110877339
Increased appetite,0.6418250015372318,0.551394781610609,0.6647809957162475,0.5869355797413351
Infection,0.5847894123756193,0.5650428753877029,0.6021079814183262,0.5920733162112473
Infestation,0.6032091247402253,0.6219129089942487,0.625296022425209,0.6136484461843313
Inflammation,0.5690384205883248,0.4683478842819335,0.5702248045508471,0.48720834727587997
Influenza,0.5595181134654819,0.482177033492823,0.5597744360902256,0.50176008202324
Influenza like illness,0.543141592920354,0.48070904381610186,0.5198575437081804,0.4557791927476797
Injection site pain,0.486972286972287,0.4505568505568506,0.5122507122507123,0.4588448588448588
Injection site reaction,0.6152869097429766,0.48808278541542144,0.565002988643156,0.5060893604303647
Injury,0.596010604721626,0.5740184320161595,0.6051761141270042,0.516020704456508
Insomnia,0.5941532405044835,0.5183349128818255,0.6157468834293213,0.521294743748633
Interstitial lung disease,0.6618028977583379,0.5673182066703116,0.6310142154182613,0.5472594313832695
Intestinal obstruction,0.5241321270776351,0.3852724594992636,0.5155480749000632,0.40079949505575424
Irritability,0.5838307841326336,0.6175748428806344,0.5451760412677674,0.6011758610591761
Jaundice,0.5806983949060452,0.5313935204645587,0.5941027197857799,0.546572634004328
