se,struct,expr_strongest,expr_exemplar
Lower respiratory tract infection,0.5684861919275884,0.5035559250023091,0.4415812321049229
Lung disorder,0.5984622275306063,0.44849208719020606,0.380486712451478
Lymphadenopathy,0.62906296749626,0.5632734938120495,0.44182646538827686
Lymphopenia,0.6849527665317139,0.4789473684210526,0.5767881241565452
Malaise,0.5431652311131567,0.505490170293905,0.505424419751463
Malnutrition,0.6012672601744186,0.4682503633720931,0.46234556686046513
Mania,0.6367048501096758,0.560857908847185,0.5431147940531319
Mediastinal disorder,0.5926576181151102,0.5057510072703536,0.4787854232786368
Melaena,0.6295643592274073,0.49503031157479205,0.4505498378683208
Memory impairment,0.5665570175438596,0.46228070175438596,0.5779605263157894
Menopausal symptoms,0.5646260670149064,0.5293030959357881,0.5182825837686329
Menorrhagia,0.4923226907141116,0.44976846210090177,0.5299536924201803
Menstrual disorder,0.5695439125518281,0.4384255021269721,0.5881751117333477
Menstruation irregular,0.7659760087241003,0.46354053071610324,0.6761904761904762
Mental disability,0.5574795574795575,0.5784955784955785,0.5748325748325748
Mental disorder,0.5460794127460794,0.5147592036480925,0.4791235680124569
Metrorrhagia,0.5709429824561403,0.40712719298245614,0.5745614035087719
Micturition urgency,0.6653202947845805,0.4698837868480726,0.5257227891156462
Migraine,0.5564236111111112,0.5074363425925926,0.4859664351851852
Mood swings,0.5092325273667748,0.46334055094430404,0.5824311319619873
Mouth ulceration,0.5226778185774513,0.5583095335237318,0.5110839113287093
Mucosal inflammation,0.7651035986913849,0.6178117048346057,0.6964013086150491
Multiple fractures,0.6730643402399128,0.4117048346055979,0.5634314794620138
Muscle contractions involuntary,0.5946230386528895,0.5194221201683888,0.5265021048603138
Muscle relaxant therapy,0.5268343271973036,0.4013481980814104,0.5272664419669865
Muscle rigidity,0.781875,0.48642857142857143,0.6025892857142857
Muscle spasms,0.5870340999206979,0.515221605427791,0.579191999295092
Muscle twitching,0.6168679805043442,0.5675778766687858,0.5554990464081374
Muscular weakness,0.605249773960217,0.5016670433996384,0.5457730560578662
Musculoskeletal discomfort,0.6262417693348934,0.4992773074540574,0.5395645490627939
Musculoskeletal pain,0.5393790849673203,0.5323529411764706,0.5155637254901961
Musculoskeletal stiffness,0.6949771689497717,0.5341595999130245,0.6167427701674277
Myalgia,0.6525149976926627,0.5491682598281582,0.5565077900103281
Mydriasis,0.8592084048473501,0.5188016851302856,0.6335361730899256
Myocardial infarction,0.6025211308656367,0.5400514913047703,0.4360730593607306
Myocardial ischaemia,0.6040800158447217,0.5649633590810061,0.41320063378886907
Myoclonus,0.7162595608191462,0.4624352331606218,0.5964100666173205
Myopathy,0.5893640350877193,0.4419407894736842,0.5112390350877193
Myositis,0.5698390151515151,0.4928977272727273,0.6076388888888888
Nail disorder,0.5533555391068344,0.4831606217616581,0.3970515667406859
Nasal congestion,0.6091594827586208,0.5801005747126436,0.5107399425287356
Nasopharyngitis,0.486782720825274,0.5238095238095238,0.5324368303091708
Nausea,0.6843763786475074,0.5783071784206213,0.6039579000441168
Neck pain,0.5014365522745411,0.5395051875498803,0.47466081404628885
Necrosis,0.5876558956916099,0.6026785714285715,0.573625283446712
Neoplasm,0.6130387931034482,0.5176005747126438,0.4226293103448276
Neoplasm malignant,0.58419384057971,0.5529438405797101,0.5502264492753624
Nephrolithiasis,0.624251572327044,0.5638238993710692,0.4741635220125786
Nephropathy,0.5050892857142857,0.6296428571428572,0.35205357142857147
Nephrotic syndrome,0.6709153043317632,0.4745543548536067,0.5224900711185
Nervous system disorder,0.5396366186687707,0.5205251276656366,0.5257632542135139
